backbone,method,split_index,setting,analysis_unit,attribute,metric,gap_max_minus_min,eligible_groups,patient_outcome_aggregation,patient_score_aggregation
vits16,joint_erased,0,external_full,patient,sex_age,ece,0.062336346087522906,6,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex_age,sensitivity,0.14057239057239057,6,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex_age,fpr,0.2139037433155081,6,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex_age,fnr,0.14057239057239057,6,max_image_outcome,max_calibrated_image_probability
vits16,joint_erased,0,external_full,patient,sex_age,ppv,0.23549423549423548,6,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,auroc,0.014102606279405516,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,auprc,0.10947754101415363,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,brier,0.017135105530756686,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,ece,0.005945196640418718,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,sensitivity,0.019841269841269882,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,fpr,0.006163642917217382,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,fnr,0.019841269841269882,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex,ppv,0.17012051734273953,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,auroc,0.09064900336264137,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,auprc,0.2398619493732147,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,brier,0.01556914812138177,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,ece,0.0003291945880694487,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,sensitivity,0.05050505050505061,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,fpr,0.17893268224625047,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,fnr,0.05050505050505061,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,age_group,ppv,0.20145348837209304,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,auroc,0.12884948176301558,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,auprc,0.3236416772978271,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,brier,0.0415439140271548,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,ece,0.012276277431300546,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,sensitivity,0.10233918128654973,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,fpr,0.21173469387755106,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,fnr,0.10233918128654973,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,internal_test,patient,sex_age,ppv,0.427536231884058,4,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,auroc,0.019936957694083657,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,auprc,0.05929073138562069,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,brier,0.017059877333708645,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,ece,0.029948539683249745,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,sensitivity,0.013431013431013494,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,fpr,0.04742139288862779,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,fnr,0.013431013431013494,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,sex,ppv,0.01903583215464405,2,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,age_group,auroc,0.11672503916596444,3,max_image_outcome,max_calibrated_image_probability
vits16,baseline,1,external_full,patient,age_group,auprc,0.34902167675360846,3,max_image_outcome,max_calibrated_image_probability
