backbone,direction,source,target,attribute,split_index,scheme,confidence_fraction,round,auroc,source_auroc,target_local_auroc,best_C,n_target_unlabelled,n_target_labelled,coordinate_space
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,6,0.6139232768655885,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,7,0.6127671675587756,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,8,0.6128681610154627,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,9,0.6134555176977744,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,self_training,1.0,10,0.6123658514545716,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,0,0.6350760905964461,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,1,0.615031547166602,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,2,0.6011555777623039,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,3,0.5900383243590902,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,4,0.582216646910929,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,5,0.5800559184823342,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,6,0.5836119512467377,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,7,0.5827535068648972,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,8,0.5854909610856265,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,9,0.5863440900223781,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,sex,1,confident_self_training,0.5,10,0.5864610298143315,0.6350760905964461,0.7346423502772004,0.1,1287,1287,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,0,0.6510358814662012,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,age65,1,self_training,1.0,1,0.6522830053951126,0.6510358814662012,0.875133886067915,0.1,1287,1284,source-training-image-standardised-patient-mean-coordinates
