backbone,direction,source,target,attribute,round,value,n_splits,mean,sd,minimum,maximum
vits16,brset_to_mbrset,brset,mbrset,age65,10,auroc,10,0.6240474254205015,0.030084122421647812,0.573176174230403,0.6600384798476675
vits16,mbrset_to_brset,mbrset,brset,sex,0,auroc,10,0.5963028117244724,0.02151675011089764,0.5629569151451137,0.6194438558259
vits16,mbrset_to_brset,mbrset,brset,sex,1,auroc,10,0.5945852915272068,0.02498963953747123,0.5523505794417998,0.6212708746306288
vits16,mbrset_to_brset,mbrset,brset,sex,2,auroc,10,0.5906253544352303,0.029414268765279045,0.5351093912558874,0.620314920515493
vits16,mbrset_to_brset,mbrset,brset,sex,3,auroc,10,0.5859204265778232,0.03462032208595863,0.5137604883656562,0.6205035442356172
vits16,mbrset_to_brset,mbrset,brset,sex,4,auroc,10,0.5811993318064517,0.037785707230373444,0.5014502381104629,0.6215469548791992
vits16,mbrset_to_brset,mbrset,brset,sex,5,auroc,10,0.5773419563097756,0.04031596194701785,0.4935383686201076,0.6220593836245906
vits16,mbrset_to_brset,mbrset,brset,sex,6,auroc,10,0.5735839276954464,0.04323159580888523,0.4838997723679844,0.6219133504753575
vits16,mbrset_to_brset,mbrset,brset,sex,7,auroc,10,0.5699559928550524,0.04592901977402377,0.4748090775559127,0.621960083416842
vits16,mbrset_to_brset,mbrset,brset,sex,8,auroc,10,0.5667845939286617,0.04845165434463599,0.4666347801369713,0.6216026143375963
vits16,mbrset_to_brset,mbrset,brset,sex,9,auroc,10,0.5642529870576007,0.05050014773672158,0.4615349968471309,0.621730794453004
vits16,mbrset_to_brset,mbrset,brset,sex,10,auroc,10,0.5619026176514929,0.052260744599527856,0.4582598986321075,0.6221071667445355
vits16,mbrset_to_brset,mbrset,brset,age65,0,auroc,10,0.6684597362403814,0.029175183770213158,0.622990223238467,0.7006636889133302
vits16,mbrset_to_brset,mbrset,brset,age65,1,auroc,10,0.6784351625394358,0.03253683577719891,0.6281197151941913,0.7226873741466783
vits16,mbrset_to_brset,mbrset,brset,age65,2,auroc,10,0.6829331008191061,0.036751362605145,0.6272709159434193,0.7377707784609404
vits16,mbrset_to_brset,mbrset,brset,age65,3,auroc,10,0.6859715411269015,0.03982450662112557,0.627184343329929,0.7437634122944482
vits16,mbrset_to_brset,mbrset,brset,age65,4,auroc,10,0.6876186949294809,0.041280545095381274,0.6263687517831374,0.7481193068815666
vits16,mbrset_to_brset,mbrset,brset,age65,5,auroc,10,0.6884221404678125,0.041513633568621866,0.6276418860528677,0.7491195435995187
vits16,mbrset_to_brset,mbrset,brset,age65,6,auroc,10,0.6856854509425302,0.043644140997304896,0.6128612274601094,0.7521715512571895
vits16,mbrset_to_brset,mbrset,brset,age65,7,auroc,10,0.6793565664939694,0.05259569835443324,0.5667268109440188,0.7553711199963613
vits16,mbrset_to_brset,mbrset,brset,age65,8,auroc,10,0.6729203320046807,0.06452620002897128,0.5180726145239385,0.7559017971957709
