backbone,control_index,best_C,n_images,n_events,prevalence,auroc,auprc,brier,ece,calibration_intercept,calibration_slope,threshold,sensitivity,specificity,ppv,fpr,fnr,sex_age_sensitivity_gap,sex_age_ece_gap,analysis_unit,fairness_analysis_unit,patient_outcome_aggregation,patient_score_aggregation
convnext_tiny,47,0.01,4884.0,862.0,0.17649467649467648,0.7485572391291054,0.5285381881784585,0.1473413520684181,0.14595298751840985,1.0633988683136186,0.5649935409875705,0.01618774422819561,0.5881670533642691,0.8267031327697663,0.4210963455149502,0.17329686723023374,0.4118329466357309,0.23863636363636365,0.16379906251330983,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,48,0.01,4884.0,862.0,0.17649467649467648,0.7486558845145205,0.5293771227315155,0.14731415641744233,0.14599265884585932,1.0669518471874262,0.5654976949165342,0.016208316399611775,0.5870069605568445,0.8276976628543014,0.42201834862385323,0.17230233714569865,0.41299303944315546,0.23863636363636365,0.1642356806116054,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,49,0.01,4884.0,862.0,0.17649467649467648,0.7488537521589494,0.5299558930451725,0.14772982458730546,0.14665449481365672,1.0975682842708137,0.568539440781479,0.01646629209969928,0.5788863109048724,0.8351566384883142,0.4294320137693632,0.16484336151168577,0.4211136890951276,0.26136363636363635,0.15199135836618882,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,50,0.01,4884.0,862.0,0.17649467649467648,0.7493071748076992,0.5303403520631345,0.14704877090980006,0.14567154551176814,1.0691242738813276,0.5682566395886121,0.01631898932237767,0.5870069605568445,0.8269517652909001,0.4209650582362729,0.1730482347090999,0.41299303944315546,0.23863636363636365,0.14784099647918103,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,51,0.01,4884.0,862.0,0.17649467649467648,0.7478948440191476,0.526910893305566,0.14757636925640258,0.1461835570656639,1.062493245617943,0.5636978079186525,0.016061163070435754,0.5881670533642691,0.8249627051218299,0.4186622625928984,0.1750372948781701,0.4118329466357309,0.21590909090909094,0.15687254292586345,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,52,0.01,4884.0,862.0,0.17649467649467648,0.7485919957634403,0.5287499301942208,0.14739756573923768,0.14605669626270235,1.0653439646521157,0.5644804727791707,0.016260105214294756,0.5881670533642691,0.8291894579811039,0.42462311557788945,0.17081054201889612,0.4118329466357309,0.23863636363636365,0.14829128079901102,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,53,0.01,4884.0,862.0,0.17649467649467648,0.7483812926814354,0.5286780541428417,0.1473510714093545,0.14600382136109744,1.0638265484048353,0.5648048851800436,0.01624963768774909,0.5870069605568445,0.8291894579811039,0.42414082145850796,0.17081054201889612,0.41299303944315546,0.23863636363636365,0.14857846418566073,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,54,0.01,4884.0,862.0,0.17649467649467648,0.7485932937290377,0.5285765998203958,0.14737130454451142,0.14599659520699093,1.066561791920683,0.5656991669677247,0.016177872912888063,0.5881670533642691,0.8267031327697663,0.4210963455149502,0.17329686723023374,0.4118329466357309,0.23863636363636365,0.1644049155022341,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,55,0.01,4884.0,862.0,0.17649467649467648,0.7477462990674261,0.5276622237289527,0.14759226841637774,0.14628973047856123,1.0587520930480965,0.5618608354688834,0.016131607177126382,0.58584686774942,0.8281949278965689,0.4222408026755853,0.1718050721034311,0.41415313225058004,0.23863636363636365,0.14938314633471209,patient,patient,max_image_outcome,max_calibrated_image_probability
convnext_tiny,56,0.01,4884.0,862.0,0.17649467649467648,0.7480895388587825,0.5277855827867407,0.1475092237231661,0.14614130172434067,1.0594919359224515,0.5628932120500817,0.016285995872384322,0.58584686774942,0.8296867230233714,0.42436974789915966,0.17031327697662857,0.41415313225058004,0.23863636363636365,0.16567037958162528,patient,patient,max_image_outcome,max_calibrated_image_probability
