backbone,attribute,target,direction,n_splits,statistic,method,estimate,ci_low,ci_high,p_value_above_zero,valid_replicates,coordinate_space
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,external_auroc,coral,0.6025641661377341,0.571381547634436,0.6319726288269993,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,transport_penalty,coral,0.2661992224690575,0.23205589707832952,0.30063918199080236,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,external_auroc,subspace,0.5037235203110123,0.495099922698411,0.5126124926768203,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,transport_penalty,subspace,0.3650398682957792,0.34347762543133004,0.3857841913158838,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,external_auroc,ot_gaussian,0.6036927761028246,0.5733379289424905,0.6328543267981467,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,transport_penalty,ot_gaussian,0.2650706125039671,0.23214008087623453,0.2991462898313546,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,external_auroc,ot_entropic,0.6161367423040305,0.5861250068381157,0.644825406409897,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,transport_penalty,ot_entropic,0.2526266463027611,0.22163925565157375,0.28564368664663575,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,mean_variance,-0.0002494247857822707,-0.0030779270403736036,0.002281358723782389,0.5742128935532234,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,coral,-0.029953784512853,-0.05445835587098718,-0.005404899408785666,0.993503248375812,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,subspace,-0.12879443033957474,-0.15847267228410233,-0.09736881159896284,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,ot_gaussian,-0.028825174547762608,-0.0529328164935864,-0.004374868157993761,0.9885057471264368,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,aligned_minus_unaligned_external_auroc,ot_entropic,-0.016381208346556625,-0.0449159959183272,0.011785872528871633,0.8685657171414293,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,sizematched_minus_full_external_auroc,unaligned,-0.00021967232624560407,-0.02023590005199186,0.019606199228532392,0.5287356321839081,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,mbrset,brset_to_mbrset_sizematched,5,sizematched_minus_full_transport_penalty,unaligned,-0.0007284393843224879,-0.021396664510471404,0.01869443961410519,0.52023988005997,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,target_local_auroc,target_local,0.9144174929398096,0.9070145198343001,0.921536563687654,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,external_auroc,unaligned,0.6684597362403815,0.6560389792735924,0.6806374504566436,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,transport_penalty,unaligned,0.2459577566994282,0.23358698115507076,0.25849620824928793,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,external_auroc,mean_variance,0.6762750983051409,0.6634627715061816,0.6888819803699346,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,transport_penalty,mean_variance,0.2381423946346687,0.22581716677473757,0.25033748035102715,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,external_auroc,coral,0.627782547167861,0.6131725517777514,0.6418929497254977,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,transport_penalty,coral,0.28663494577194865,0.27242149186469994,0.3018170391874401,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,external_auroc,subspace,0.6295316240712181,0.621343302636852,0.6367897772801515,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,transport_penalty,subspace,0.28488586886859146,0.27708354736672014,0.2931704779170374,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,external_auroc,ot_gaussian,0.6479205258239645,0.6333206824569322,0.6618375444440711,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,transport_penalty,ot_gaussian,0.266496967115845,0.25265187091187763,0.281356691709778,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,external_auroc,ot_entropic,0.6746409562371563,0.6612986316573706,0.6868420794168922,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,transport_penalty,ot_entropic,0.2397765367026533,0.22764620436986807,0.25281491566125314,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,mean_variance,0.007815362064759496,0.005746086677912545,0.009788094333611039,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,coral,-0.04067718907252045,-0.049407538816822326,-0.03205889107695107,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,subspace,-0.03892811216916334,-0.0528061626478479,-0.025517486520418915,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,ot_gaussian,-0.020539210416416792,-0.028798397662054765,-0.012638031922984835,1.0,2000,source-training-image-standardised-patient-mean-coordinates
vits16,age65,brset,mbrset_to_brset,5,aligned_minus_unaligned_external_auroc,ot_entropic,0.006181219996774845,-0.006807069033479614,0.018037351576035792,0.17341329335332334,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,target_local_auroc,target_local,0.7217353865125897,0.6930657329310914,0.7493397664083132,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,external_auroc,unaligned,0.5617718504658987,0.5314903265507425,0.5903583033850481,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,transport_penalty,unaligned,0.1599635360466909,0.122718476533919,0.19766344368805777,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,external_auroc,mean_variance,0.5737278811041243,0.5451234452228451,0.6034735726461623,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,transport_penalty,mean_variance,0.1480075054084653,0.11263392026590215,0.18311434434335022,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,external_auroc,coral,0.5979115616246127,0.5680174372404468,0.6282401722305315,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,transport_penalty,coral,0.12382382488797695,0.08703461802620457,0.15759829703108877,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,external_auroc,subspace,0.48738166490371077,0.47324056288853866,0.5008287531133611,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,transport_penalty,subspace,0.2343537216088789,0.20093622485181,0.2669872933868369,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,external_auroc,ot_gaussian,0.5977994057332391,0.5674527869379109,0.6279779268578202,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,transport_penalty,ot_gaussian,0.12393598077935057,0.08778158359132185,0.15758899276796343,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,external_auroc,ot_entropic,0.5604988013671326,0.5309752796930056,0.5910029224646407,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,transport_penalty,ot_entropic,0.16123658514545708,0.12338439332710864,0.19850595936335053,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,mean_variance,0.011956030638225576,-0.0005630437775017306,0.024771596626700976,0.031984007996002,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,coral,0.03613971115871394,0.012938832709564752,0.060156379890969,0.001999000499750125,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,subspace,-0.07439018556218804,-0.10643707449426232,-0.04011720422939791,1.0,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,ot_gaussian,0.03602755526734035,0.011011169746095444,0.06102668187736605,0.0029985007496251873,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset,5,aligned_minus_unaligned_external_auroc,ot_entropic,-0.0012730490987662157,-0.038021586915733305,0.036382412995426466,0.5182408795602199,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset_sizematched,5,target_local_auroc,target_local,0.7106510888689265,0.6833695097922043,0.7371046791960919,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset_sizematched,5,external_auroc,unaligned,0.5622332310996061,0.5399751690959742,0.5862151398107737,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset_sizematched,5,transport_penalty,unaligned,0.1484178577693203,0.11650515616928943,0.17864448317426718,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
convnext_tiny,sex,mbrset,brset_to_mbrset_sizematched,5,external_auroc,mean_variance,0.5597774954685831,0.53728548132842,0.5838504718039571,0.0004997501249375312,2000,source-training-image-standardised-patient-mean-coordinates
