backbone,direction,source,target,split_index,attribute,best_C,source_train_n,source_train_positive,source_validation_n,size_capped,evaluation,method,auroc,n,n_negative,n_positive,coordinate_space
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,target_external,unaligned,0.6309628887654712,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,target_external,mean_variance,0.6298198984449381,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,2,age65,0.01,770,309,256,True,target_external,coral,0.6052765986988258,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,source_internal,unaligned,0.7454149801975889,1701,1035,666,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,target_local_cv,target_local,0.7424746586155392,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,target_external,unaligned,0.6549585129510819,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,target_external,mean_variance,0.6473175606359399,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,sex,0.1,5105,1987,1699,False,target_external,coral,0.629000536859954,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,source_internal,unaligned,0.7416145728305438,258,171,87,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,target_local_cv,target_local,0.7598662516050227,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,target_external,unaligned,0.6065326117751609,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,target_external,mean_variance,0.6062823775853643,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,sex,1.0,772,281,257,False,target_external,coral,0.5988604163467512,8505,5224,3281,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,source_internal,unaligned,0.694723709216463,1701,1035,666,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,target_local_cv,target_local,0.7370715086827796,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,target_external,unaligned,0.5907479362784442,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,target_external,mean_variance,0.5915798034348406,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset_sizematched,brset,mbrset,3,sex,0.01,772,300,257,True,target_external,coral,0.5901579218735881,1287,838,449,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,source_internal,unaligned,0.9019875478927204,1176,696,480,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,target_local_cv,target_local,0.8738346953348143,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,target_external,unaligned,0.635219969850841,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,target_external,mean_variance,0.6001319025706124,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,brset_to_mbrset,brset,mbrset,3,age65,0.1,3354,1379,1119,False,target_external,coral,0.6057352824500158,1284,736,548,source-training-image-standardised-patient-mean-coordinates
vits16,mbrset_to_brset,mbrset,brset,3,age65,0.01,770,320,256,False,source_internal,unaligned,0.826388888888889,258,138,120,source-training-image-standardised-patient-mean-coordinates
